"행정구역","2023년_거주자 인구수","2023년_세대수","2023년_세대당 인구","2023년_남자 인구수","2023년_여자 인구수","2023년_남여 비율"
"서울특별시 서울특별시 광진구 (1121500000)","333,004","168,206","          1.98","159,930","173,074","          0.92"
"서울특별시 광진구 화양동(1121571000)","22,934","17,916","          1.28","10,824","12,110","          0.89"
"서울특별시 광진구 군자동(1121573000)","18,923","11,188","          1.69","9,324","9,599","          0.97"
"서울특별시 광진구 중곡제1동(1121574000)","15,156","8,583","          1.77","7,165","7,991","          0.90"
"서울특별시 광진구 중곡제2동(1121575000)","20,376","10,464","          1.95","9,564","10,812","          0.88"
"서울특별시 광진구 중곡제3동(1121576000)","15,618","8,439","          1.85","7,705","7,913","          0.97"
"서울특별시 광진구 중곡제4동(1121577000)","27,393","12,927","          2.12","13,345","14,048","          0.95"
"서울특별시 광진구 능동(1121578000)","11,011","6,419","          1.72","5,046","5,965","          0.85"
"서울특별시 광진구 광장동(1121581000)","33,723","11,709","          2.88","16,324","17,399","          0.94"
"서울특별시 광진구 자양제1동(1121582000)","21,700","11,876","          1.83","10,502","11,198","          0.94"
"서울특별시 광진구 자양제2동(1121583000)","23,393","10,731","          2.18","11,354","12,039","          0.94"
"서울특별시 광진구 자양제3동(1121584000)","27,053","10,864","          2.49","12,917","14,136","          0.91"
"서울특별시 광진구 자양제4동(1121584700)","19,713","10,843","          1.82","9,727","9,986","          0.97"
"서울특별시 광진구 구의제1동(1121585000)","22,972","12,980","          1.77","10,971","12,001","          0.91"
"서울특별시 광진구 구의제2동(1121586000)","25,404","11,341","          2.24","12,120","13,284","          0.91"
"서울특별시 광진구 구의제3동(1121587000)","27,635","11,926","          2.32","13,042","14,593","          0.89"
