인구추이별,인구추이별(1),인구추이별(2),2018,2019,2020,2021
세대수 (세대),,,1213201,1238641,1267956,1298647
등록인구 (명)남-총수,총수,남,1521044,1523404,1512095,1513277
등록인구 (명)여-총수,총수,여,1501467,1505881,1498381,1501462
등록인구 (명)남-한국인,한국인,남,1481844,1482249,1473943,1476373
등록인구 (명)여-한국인,한국인,여,1472798,1474777,1468885,1472002
등록인구 (명)남-외국인,외국인,남,39200,41155,38152,36904
등록인구 (명)여-외국인,외국인,여,28669,31104,29496,29460
인구증가율 (%),,,0.38,0.22,-0.62,0.14
세대당인구 (명),,,2.49,2.45,2.37,2.32
65세 이상 고령자 (명),,,362675,384506,411483,463850
인구밀도 (명/제곱킬로미터),,,2845,2849,2826,2827
면적 (제곱킬로미터),,,1062.4,1063.26,1065.23,1066.46
