"행정구역별(읍면동)","연령별","항목","단위","2021 년","2022 년","2023 년","2024 년",
"인천광역시","합계","총인구(명)","","2957044","2989125","3025950","3058033",
"인천광역시","합계","총인구_남자(명)","","1482202","1499105","1518154","1532995",
"인천광역시","합계","총인구_여자(명)","","1474842","1490020","1507796","1525038",
"인천광역시","합계","총인구_성비","","100.5","100.6","100.7","100.5",
"인천광역시","합계","내국인(명)","","2856665","2878924","2903900","2930073",
"인천광역시","합계","내국인_남자(명)","","1427672","1438975","1450848","1462424",
"인천광역시","합계","내국인_여자(명)","","1428993","1439949","1453052","1467649",
"인천광역시","합계","내국인_성비","","99.9","99.9","99.8","99.6",
"인천광역시","0~4세","총인구(명)","","92583","88660","85809","84290",
"인천광역시","0~4세","총인구_남자(명)","","47751","45528","44041","43212",
"인천광역시","0~4세","총인구_여자(명)","","44832","43132","41768","41078",
"인천광역시","0~4세","총인구_성비","","106.5","105.6","105.4","105.2",
"인천광역시","0~4세","내국인(명)","","88956","84793","82019","80480",
"인천광역시","0~4세","내국인_남자(명)","","45827","43521","42108","41255",
"인천광역시","0~4세","내국인_여자(명)","","43129","41272","39911","39225",
"인천광역시","0~4세","내국인_성비","","106.3","105.4","105.5","105.2",
"인천광역시","5~9세","총인구(명)","","129296","124703","120175","115332",
"인천광역시","5~9세","총인구_남자(명)","","66166","63805","61580","59093",
"인천광역시","5~9세","총인구_여자(명)","","63130","60898","58595","56239",
"인천광역시","5~9세","총인구_성비","","104.8","104.8","105.1","105.1",
"인천광역시","5~9세","내국인(명)","","126047","120928","116573","111398",
"인천광역시","5~9세","내국인_남자(명)","","64535","61916","59779","57102",
"인천광역시","5~9세","내국인_여자(명)","","61512","59012","56794","54296",
"인천광역시","5~9세","내국인_성비","","104.9","104.9","105.3","105.2",
"인천광역시","10~14세","총인구(명)","","134896","135884","135954","136763",
"인천광역시","10~14세","총인구_남자(명)","","69288","69769","69782","70224",
"인천광역시","10~14세","총인구_여자(명)","","65608","66115","66172","66539",
"인천광역시","10~14세","총인구_성비","","105.6","105.5","105.5","105.5",
"인천광역시","10~14세","내국인(명)","","133098","133604","133400","133833",
"인천광역시","10~14세","내국인_남자(명)","","68336","68570","68465","68715",
"인천광역시","10~14세","내국인_여자(명)","","64762","65034","64935","65118",
"인천광역시","10~14세","내국인_성비","","105.5","105.4","105.4","105.5",
"인천광역시","15~19세","총인구(명)","","131154","132701","132676","132453",
"인천광역시","15~19세","총인구_남자(명)","","67406","68236","68199","67876",
"인천광역시","15~19세","총인구_여자(명)","","63748","64465","64477","64577",
"인천광역시","15~19세","총인구_성비","","105.7","105.8","105.8","105.1",
"인천광역시","15~19세","내국인(명)","","129497","130153","129524","128944",
"인천광역시","15~19세","내국인_남자(명)","","66640","66954","66522","66069",
"인천광역시","15~19세","내국인_여자(명)","","62857","63199","63002","62875",
"인천광역시","15~19세","내국인_성비","","106","105.9","105.6","105.1",
"인천광역시","20~24세","총인구(명)","","175046","166160","157298","151679",
"인천광역시","20~24세","총인구_남자(명)","","91028","87029","82599","79403",
"인천광역시","20~24세","총인구_여자(명)","","84018","79131","74699","72276",
"인천광역시","20~24세","총인구_성비","","108.3","110","110.6","109.9",
"인천광역시","20~24세","내국인(명)","","168369","158558","148494","142028",
"인천광역시","20~24세","내국인_남자(명)","","87551","82916","77579","73890",
"인천광역시","20~24세","내국인_여자(명)","","80818","75642","70915","68138",
"인천광역시","20~24세","내국인_성비","","108.3","109.6","109.4","108.4",
"인천광역시","25~29세","총인구(명)","","217238","214799","210265","205107",
"인천광역시","25~29세","총인구_남자(명)","","114544","113241","110638","107757",
"인천광역시","25~29세","총인구_여자(명)","","102694","101558","99627","97350",
"인천광역시","25~29세","총인구_성비","","111.5","111.5","111.1","110.7",
"인천광역시","25~29세","내국인(명)","","206383","203164","197336","191697",
"인천광역시","25~29세","내국인_남자(명)","","108188","106274","102727","99353",
"인천광역시","25~29세","내국인_여자(명)","","98195","96890","94609","92344",
"인천광역시","25~29세","내국인_성비","","110.2","109.7","108.6","107.6",
"인천광역시","30~34세","총인구(명)","","200102","212250","223469","230545",
"인천광역시","30~34세","총인구_남자(명)","","105470","112307","118812","122571",
"인천광역시","30~34세","총인구_여자(명)","","94632","99943","104657","107974",
"인천광역시","30~34세","총인구_성비","","111.5","112.4","113.5","113.5",
"인천광역시","30~34세","내국인(명)","","184385","196346","206667","214179",
"인천광역시","30~34세","내국인_남자(명)","","96308","102929","108633","112606",
"인천광역시","30~34세","내국인_여자(명)","","88077","93417","98034","101573",
"인천광역시","30~34세","내국인_성비","","109.3","110.2","110.8","110.9",
"인천광역시","35~39세","총인구(명)","","216944","210038","208503","210763",
"인천광역시","35~39세","총인구_남자(명)","","113101","109700","109528","111172",
"인천광역시","35~39세","총인구_여자(명)","","103843","100338","98975","99591",
"인천광역시","35~39세","총인구_성비","","108.9","109.3","110.7","111.6",
"인천광역시","35~39세","내국인(명)","","202693","194322","190817","192374",
"인천광역시","35~39세","내국인_남자(명)","","104569","100320","98970","100242",
"인천광역시","35~39세","내국인_여자(명)","","98124","94002","91847","92132",
"인천광역시","35~39세","내국인_성비","","106.6","106.7","107.8","108.8",
"인천광역시","40~44세","총인구(명)","","238433","246425","253034","250002",
"인천광역시","40~44세","총인구_남자(명)","","123174","127633","131451","129776",
"인천광역시","40~44세","총인구_여자(명)","","115259","118792","121583","120226",
"인천광역시","40~44세","총인구_성비","","106.9","107.4","108.1","107.9",
"인천광역시","40~44세","내국인(명)","","228872","235633","240509","236660",
